HMDB_ID,Compound_Name,Concentration_uM,Threshold,Confidence_Score
NA,DSS,670.9655144,1.28535626,6.053376886
HMDB00001,1-Methylhistidine,1065.242185,5.647713611,8.64876071
HMDB00008,2-Hydroxybutyric acid,101.433473,4.790141074,1.910393699
HMDB00042,Acetic acid,400.8908726,2.429217467,2.769029055
HMDB00043,Betaine,267.2415197,7.813345751,5.230232192
HMDB00060,Acetoacetate,254.0809285,9.698594186,7.699797206
HMDB00062,Carnitine,166.4536054,5.084652634,3.906782877
HMDB00064,Creatine,792.8054402,1.440158437,2.710818628
HMDB00094,Citric acid,907.6401025,7.289209454,6.796657306
HMDB00097,Choline,707.0770052,7.685636686,3.747306876
HMDB00108,Ethanol,336.1123127,9.346398515,6.181146272
HMDB00122,D-Glucose,310.9334481,3.525335336,5.283959743
HMDB00123,Glycine,845.8957803,1.301899719,7.110192214
HMDB00131,Glycerol,261.6988759,2.14954807,5.63404342
HMDB00142,Formate,52.10916598,3.235817154,7.026905184
HMDB00148,L-Glutamic acid,451.4642449,8.104938979,9.784817462
HMDB00157,Hypoxanthine,638.0911449,5.645687138,4.619058763
HMDB00158,Tyrosine,41.50944277,1.734725477,8.076483912
HMDB00159,L-Phenylalanine,353.1478672,1.642348473,1.412832819
HMDB00161,L-Alanine,925.625489,8.167351503,10.78845286
HMDB00162,L-Proline,287.3463296,1.49164313,3.468321281
HMDB00167,L-Threonine,760.8549251,3.835919256,4.713100421
HMDB00168,L-Asparagine,518.1865306,8.019667708,4.724123894
HMDB00172,Isoleucine,1040.499585,1.57500433,8.363478121
HMDB00177,L-Histidine,466.2122462,10.86818793,2.786214
HMDB00182,L-Lysine,658.781876,2.659367989,6.125633458
HMDB00187,L-Serine,535.74092,5.716424696,1.395374307
HMDB00190,L-Lactic acid,484.1374145,5.046156859,1.428192459
HMDB00191,Aspartate,614.1442377,4.035123612,8.840767462
HMDB00214,L-Ornithine,39.17646372,10.38632814,1.801818136
HMDB00243,Pyruvic acid,102.5296207,6.746341589,6.507147183
HMDB00254,Succinate,776.0624224,8.195324064,4.128826856
HMDB00294,Urea,747.2902279,6.616014436,3.515061518
HMDB00357,3-Hydroxybutyric acid,537.3117398,3.401808282,8.702305352
HMDB00517,L-Arginine,1006.670892,7.868626532,5.647054271
HMDB00562,Creatinine,777.1412168,2.199944601,3.609059733
HMDB00641,L-Glutamine,491.7216331,7.071327911,8.849828568
HMDB00687,L-Leucine,303.5729406,6.395186273,4.839790497
HMDB00691,Malonate,421.0155062,8.893716639,6.064387698
HMDB00696,Methionine,549.0585718,6.323227128,1.092464208
HMDB00863,Isopropyl alcohol,810.8817261,4.6777207,3.447364763
HMDB00883,Valine,913.4868586,2.089878903,6.97824564
HMDB00929,Tryptophan,779.5090481,7.66620264,9.871842213
HMDB01659,Acetone,913.6815141,9.469316468,6.073251483
HMDB01873,Isobutyric acid,866.1917639,11.14286513,4.111158864
HMDB01875,Methanol,602.5943004,3.430577147,1.468939707
HMDB01881,Propylene glycol,426.0293082,9.60494119,8.956322115
HMDB04983,Dimethyl sulfone,261.3593649,4.742875793,6.888958497
