HMDB_ID,Compound_Name,Concentration_uM,Threshold,Confidence_Score,
NA,DSS,213.5898593,8.839875107,6.557462728,PP
HMDB00001,1-Methylhistidine,421.0830751,2.707547446,6.168680404,PP
HMDB00008,2-Hydroxybutyric acid,285.9324803,6.574376989,7.230086909,PP
HMDB00042,Acetic acid,16.28414543,1.112792155,9.313953667,PP
HMDB00043,Betaine,324.9562644,1.106707589,8.319515538,PP
HMDB00060,Acetoacetate,480.5273922,8.576119289,8.435016084,PP
HMDB00062,Carnitine,375.7676974,3.110208071,8.518254544,PP
HMDB00064,Creatine,214.0031088,4.301449185,7.50824951,PP
HMDB00094,Citric acid,199.7772223,2.184071293,7.393866598,PP
HMDB00097,Choline,116.3612517,6.652512887,8.440861203,PP
HMDB00108,Ethanol,296.9933609,1.556464577,6.01705867,PP
HMDB00122,D-Glucose,390.9544078,9.187146389,6.768401173,PP
HMDB00123,Glycine,270.3686317,3.510723484,8.25699979,PP
HMDB00131,Glycerol,173.3952175,5.497752472,8.626807046,PP
HMDB00142,Formate,402.5651895,2.004194957,7.193070009,PP
HMDB00148,L-Glutamic acid,252.4706597,8.020225775,9.495527128,PP
HMDB00157,Hypoxanthine,61.16436877,3.594244847,7.113507376,PP
HMDB00158,Tyrosine,59.97495277,4.578978132,8.870276636,PP
HMDB00159,L-Phenylalanine,46.30419515,1.989126114,9.079604516,PP
HMDB00161,L-Alanine,232.3902874,8.07300448,6.280941888,PP
HMDB00162,L-Proline,273.6946436,4.975385572,9.589753172,PP
HMDB00167,L-Threonine,189.8961356,4.473491698,6.650513163,PP
HMDB00168,L-Asparagine,428.7626059,6.619459141,8.109578834,PP
HMDB00172,Isoleucine,10.46786184,3.364228287,7.768594006,PP
HMDB00177,L-Histidine,21.51006078,9.468039607,6.989497656,PP
HMDB00182,L-Lysine,261.3815877,5.221042344,6.549150035,PP
HMDB00187,L-Serine,179.5229299,4.865430879,5.134780199,PP
HMDB00190,L-Lactic acid,241.0852929,3.50116867,6.212289414,PP
HMDB00191,Aspartate,87.93874855,7.863238198,8.765871705,PP
HMDB00214,L-Ornithine,335.845378,8.730136678,7.005823628,PP
HMDB00243,Pyruvic acid,275.6419473,9.871231598,5.52314667,PP
HMDB00254,Succinate,168.7606793,9.046764122,5.774878786,PP
HMDB00294,Urea,168.5020663,9.681059968,5.975435656,PP
HMDB00357,3-Hydroxybutyric acid,364.2453611,6.743857931,5.536709735,PP
HMDB00517,L-Arginine,136.9883545,8.241151641,6.566682938,PP
HMDB00562,Creatinine,27.81962833,6.124432028,7.154523565,PP
HMDB00641,L-Glutamine,360.1467852,4.393397944,9.657645255,PP
HMDB00687,L-Leucine,296.8982976,1.529709318,9.088231216,PP
HMDB00691,Malonate,52.0357445,7.464700283,5.871934633,PP
HMDB00696,Methionine,35.1639504,3.261945754,9.016712232,PP
HMDB00863,Isopropyl alcohol,138.2091643,8.652461975,7.492530559,PP
HMDB00883,Valine,393.576563,3.444607679,5.275720595,PP
HMDB00929,Tryptophan,311.4263305,4.457596866,5.743692147,PP
HMDB01659,Acetone,61.82904121,6.762497737,8.073070069,PP
HMDB01873,Isobutyric acid,233.9439185,2.68907268,5.291209983,PP
HMDB01875,Methanol,331.5366682,9.285743732,9.325382599,PP
HMDB01881,Propylene glycol,299.7628682,2.571220653,8.296837074,PP
HMDB04983,Dimethyl sulfone,483.4612008,4.086779031,8.777834439,PP
